evaluator1,evaluator2
0.1,-0.4
0.2,1.8
-0.5,1.1
-4.6,-3.4
14.1,12.6
3.4,-1.6
26.5,29.2
13.8,7.8
-1.0,-0.2
11.8,12.3
-5.0,-3.9
3.9,3.3
9.0,9.3
12.8,13.8
22.8,14.0
0.7,1.6
-0.5,-3.2
24.5,25.9
-7.5,-10.7
1.7,1.6
4.6,6.4
26.1,28.9
20.0,17.0
6.1,6.9
13.9,5.2
0.5,1.7
24.7,26.3
16.7,19.3
24.0,18.3
8.3,8.8
12.2,5.5
2.0,2.3
-9.5,-16.8
2.8,4.9
7.1,0.9
-10.0,-14.0
-1.0,-3.0
3.9,5.2
22.7,23.7
-7.3,-6.0
16.0,18.5
-6.4,-5.3
18.7,21.6
9.8,-0.1
21.7,17.7
5.1,-0.6
-0.3,1.9
21.4,14.0
-6.0,-8.4
-1.7,-0.4
-5.1,-3.9
-11.9,-18.5
-4.3,-4.4
15.2,15.1
6.9,9.4
7.9,9.6
24.3,21.9
2.5,-1.0
0.1,2.1
28.6,30.7
17.4,17.9
5.0,6.1
15.0,13.7
8.9,10.6
17.5,17.8
27.1,29.6
14.3,7.6
2.6,-8.3
2.9,5.0
28.3,29.6
8.1,9.0
0.5,0.4
1.0,2.2
-6.5,-4.3
0.6,-4.3
-3.1,-1.4
9.9,11.6
23.5,21.4
0.3,-2.8
25.2,27.6
4.0,6.1
-0.8,0.2
-3.2,-2.2
15.1,16.8
-0.9,1.8
-4.7,-8.8
7.2,3.5
-3.5,-2.7
0.7,1.5
-0.3,0.1
-2.0,-6.6
19.6,16.9
0.5,-4.6
24.6,26.6
-0.1,-6.2
-3.9,-4.9
18.3,17.3
-1.2,0.5
-4.7,-9.2
4.9,6.9
23.9,27.0
-1.7,-1.6
-0.3,-2.4
7.6,3.2
-0.8,0.3
-5.2,-3.8
21.6,22.1
-3.2,-2.0
0.0,1.0
-1.8,-2.1
21.6,22.8
-5.1,-5.1
3.7,4.6
-4.1,-3.7
25.2,19.5
21.3,21.7
-5.9,-9.2
8.8,1.7
-4.1,-4.1
-3.7,-2.3
-4.1,-0.3
14.8,11.3
-0.6,0.5
18.3,18.0
9.8,8.2
-4.2,-6.3
2.1,3.1
-2.1,-3.5
-4.9,-3.4
17.3,19.4
20.1,22.3
9.6,7.5
20.7,21.5
14.1,17.3
8.8,11.1
17.3,14.1
5.9,4.8
17.4,16.4
1.1,0.3
3.9,-2.7
13.5,6.0
-1.6,-1.2
-11.4,-9.7
0.7,1.5
-11.3,-14.8
7.3,8.7
20.7,23.3
-1.2,-1.1
-5.0,-6.8
12.4,14.1
6.7,8.5
-5.4,-4.0
10.9,13.4
7.4,8.7
1.4,-0.4
25.6,26.5
5.5,6.1
18.4,17.9
27.5,30.0
1.6,-4.5
-3.8,-2.9
5.1,-0.3
7.9,9.5
26.4,22.2
5.0,6.2
-2.2,-5.1
23.2,14.9
1.8,-9.0
12.4,14.3
15.0,15.9
17.3,10.2
21.6,22.0
-11.0,-16.0
16.5,9.4
0.8,2.0
8.2,9.5
18.7,19.7
-3.7,-2.1
11.0,11.9
-3.0,-2.6
2.6,1.1
15.7,9.5
0.2,1.4
15.8,12.7
-6.9,-8.5
11.2,5.6
28.4,31.1
-7.6,-6.0
-2.4,-1.9
8.9,0.1
18.6,14.4
25.5,25.2
16.3,17.6
2.0,-0.1
15.6,18.2
10.3,11.1
20.6,21.0
-9.3,-16.1
-1.0,-7.1
0.7,0.1
22.8,18.9
-2.2,0.1
3.3,4.7
9.8,12.2
19.1,16.2
16.3,16.7
1.4,-9.4
24.6,25.5
9.4,11.6
11.1,8.9
14.1,16.4
25.7,26.6
5.7,7.3
0.4,1.5
14.2,14.4
-2.5,-8.3
-7.2,-8.3
26.8,29.0
-4.9,-3.7
1.1,2.2
21.0,23.1
14.5,10.2
-0.2,-2.5
7.2,6.2
6.1,7.4
5.8,6.3
23.2,25.3
-10.3,-8.8
8.9,10.1
3.3,4.1
4.0,5.2
0.8,1.6
-1.5,-1.6
1.4,3.0
1.4,1.3
25.3,27.5
2.9,3.9
17.1,16.9
21.9,22.3
7.3,5.4
17.5,19.9
14.8,15.0
0.2,-0.0
13.2,6.3
24.0,25.7
19.8,18.0
-9.9,-9.0
26.2,28.5
9.7,3.2
4.6,6.3
-2.4,-2.2
32.0,34.1
1.7,3.2
11.3,13.8
23.4,24.5
-0.4,0.7
-10.5,-9.3
3.3,0.5
3.2,2.2
3.0,4.6
-4.5,-2.3
27.2,29.2
20.0,22.9
0.6,2.0
-1.3,-0.1
1.6,-1.2
15.4,16.5
9.4,3.5
25.4,27.3
18.6,19.7
8.0,10.1
18.8,21.1
-9.9,-9.0
-9.1,-11.5
21.0,22.1
5.0,0.3
1.8,3.2
3.6,4.5
-2.4,-1.3
20.7,14.0
14.4,14.4
26.2,27.0
3.0,0.1
18.8,15.2
0.0,1.7
12.9,11.6
2.0,3.2
25.2,26.6
-8.1,-7.0
17.7,11.3
-1.4,-3.8
15.8,17.6
4.4,5.9
6.7,5.7
6.9,8.5
3.8,1.6
17.6,7.6
-0.8,0.3
-3.0,-2.6
16.0,8.8
-13.2,-10.5
7.6,9.2
-0.7,0.8
22.5,25.3
6.0,8.4
7.6,4.7
6.9,8.3
17.6,19.2
-3.2,-5.9
10.6,12.3
11.7,6.7
19.8,22.3
23.2,25.6
7.4,9.1
8.8,11.0
15.8,16.3
12.5,14.1
31.0,33.1
-10.5,-9.1
6.3,7.9
21.9,23.0
12.3,13.2
15.2,17.3
15.1,17.7
-2.3,-1.3
-2.2,-2.3
9.7,4.7
-7.0,-7.4
15.2,17.1
16.7,11.3
19.3,19.9
9.1,11.3
-5.6,-10.3
20.9,23.2
5.2,4.5
4.8,6.3
-0.7,-0.6
4.6,-7.0
29.2,31.1
15.7,10.6
-1.2,-1.4
23.2,24.6
0.0,0.5
15.1,16.9
6.3,2.8
21.9,23.2
8.2,7.1
6.5,2.8
-3.9,-2.8
21.9,16.8
25.8,28.4
-12.5,-19.6
-2.2,-4.0
13.0,8.5
-1.8,-0.9
-0.3,-2.1
19.9,14.1
-0.5,0.2
0.2,0.2
9.2,4.6
13.8,15.4
-3.3,-6.2
3.4,5.0
8.1,9.9
-2.8,-1.5
-4.1,-6.6
3.0,3.5
22.8,22.3
17.9,16.4
-1.0,-0.1
0.7,2.3
15.4,16.5
22.0,21.4
26.8,29.1
22.2,24.4
5.8,0.9
13.3,14.9
-6.2,-9.9
17.1,16.2
12.6,13.9
13.3,12.3
